id,observed_on,image_url,latitude,longitude,valid_url,picture_info,color_max_x,color_min_x,color_max_y,color_min_y
23610875,2019-04-28,https://inaturalist-open-data.s3.amazonaws.com/photos/36555132/medium.jpg,43.19313,-77.541405,TRUE,,75,69,41,33
23788150,2019-04-28,https://inaturalist-open-data.s3.amazonaws.com/photos/36807578/medium.jpg,35.60984797,-82.4305489,TRUE,,96,83,63,48
23776642,2019-04-28,https://inaturalist-open-data.s3.amazonaws.com/photos/36791430/medium.jpeg,35.30785857,-80.7297492,TRUE,,201,165,82,53
23774957,2019-04-28,https://static.inaturalist.org/photos/36770012/medium.jpg,41.4948088,-81.7971556,TRUE,,99,89,63,55
23827508,2019-04-20,https://inaturalist-open-data.s3.amazonaws.com/photos/36869283/medium.jpeg,29.49232776,-95.54766888,TRUE,,187,175,77,64
23884751,2019-04-27,https://inaturalist-open-data.s3.amazonaws.com/photos/36953968/medium.jpeg,29.8044709,-95.8197892,TRUE,,223,199,91,71
23521599,2019-04-27,https://inaturalist-open-data.s3.amazonaws.com/photos/36414929/medium.jpeg,42.62054425,-71.27826788,TRUE,,109,92,100,77
23493639,2019-04-25,https://inaturalist-open-data.s3.amazonaws.com/photos/36379115/medium.jpg,45.510697,-75.343592,TRUE,,73,60,90,78
23867472,2019-04-28,https://inaturalist-open-data.s3.amazonaws.com/photos/36931079/medium.jpeg,47.79305103,-122.2802952,TRUE,,211,200,93,85
23797147,2019-04-28,https://static.inaturalist.org/photos/36822417/medium.jpeg,38.86980218,-77.13161945,TRUE,,115,105,96,88
23498810,2019-04-27,https://inaturalist-open-data.s3.amazonaws.com/photos/36380687/medium.jpg,35.8992596,-79.033352,TRUE,,206,193,103,89
23774774,2019-04-28,https://static.inaturalist.org/photos/36768849/medium.jpg,41.4948088,-81.7971556,TRUE,,196,168,105,89
23864191,2019-04-28,https://inaturalist-open-data.s3.amazonaws.com/photos/36926539/medium.jpeg,29.97354,-95.5709169,TRUE,,178,162,107,89
23364256,2019-04-27,https://inaturalist-open-data.s3.amazonaws.com/photos/36192574/medium.jpeg,30.418041,-90.087975,TRUE,,159,156,94,90
23609409,2019-04-28,https://static.inaturalist.org/photos/36553007/medium.jpg,34.99103667,-85.21806333,TRUE,,213,205,97,91
23642506,2019-04-28,https://inaturalist-open-data.s3.amazonaws.com/photos/36597838/medium.jpg,25.64640899,-80.2307297,TRUE,,158,146,101,91
23252975,2019-04-26,https://inaturalist-open-data.s3.amazonaws.com/photos/36030749/medium.jpg,40.662894,-73.742935,TRUE,,62,55,99,92
23520666,2019-04-27,https://inaturalist-open-data.s3.amazonaws.com/photos/36421120/medium.jpg,29.77156383,-95.56977149,TRUE,,165,143,115,92
23266566,2019-04-26,https://inaturalist-open-data.s3.amazonaws.com/photos/36051619/medium.jpeg,44.93156815,-93.12960052,TRUE,,131,125,98,93
23324117,2019-04-26,https://inaturalist-open-data.s3.amazonaws.com/photos/36138335/medium.jpg,38.52340556,-121.786475,TRUE,,179,171,99,94
23523070,2019-04-27,https://inaturalist-open-data.s3.amazonaws.com/photos/36424546/medium.jpeg,42.36028657,-71.25629894,TRUE,,221,216,101,98
23722265,2019-04-28,https://inaturalist-open-data.s3.amazonaws.com/photos/36710582/medium.jpg,30.39377046,-84.21762505,TRUE,,63,56,108,98
23624757,2019-04-28,https://static.inaturalist.org/photos/36574134/medium.jpg,35.16417161,-80.70345626,TRUE,,68,61,106,99
23720841,2019-04-28,https://inaturalist-open-data.s3.amazonaws.com/photos/36708778/medium.jpg,30.39381276,-84.21762897,TRUE,,81,70,113,100
23255641,2019-04-26,https://inaturalist-open-data.s3.amazonaws.com/photos/36031414/medium.jpeg,29.76463694,-95.45373,TRUE,,97,56,127,100
23613083,2019-04-28,https://inaturalist-open-data.s3.amazonaws.com/photos/36558145/medium.jpeg,39.7601965,-75.5740145,TRUE,,159,152,106,102
23272121,2019-04-26,https://static.inaturalist.org/photos/36059893/medium.jpg,38.58483333,-90.289,TRUE,,173,160,116,103
23352049,2019-04-27,https://inaturalist-open-data.s3.amazonaws.com/photos/36176235/medium.jpg,35.72342384,-78.78342192,TRUE,,61,59,107,105
23625328,2019-04-28,https://inaturalist-open-data.s3.amazonaws.com/photos/36574837/medium.jpeg,40.06666565,-75.12472534,TRUE,,199,189,117,106
23511303,2019-04-27,https://inaturalist-open-data.s3.amazonaws.com/photos/36406330/medium.jpg,42.35302,-71.06491117,TRUE,,107,98,115,107
23372852,2019-04-23,https://inaturalist-open-data.s3.amazonaws.com/photos/36204161/medium.jpg,26.98375054,-82.14840528,TRUE,,220,198,123,107
